---config@允许编辑=是
---config@码表分类=主码-次显码表
---config@码表别名=罕用字·繁体字

#罕用字
哱	bokz#序9595
榑	bomc#序9594
欂	bomc#序9593
桲	bomz#序9592
僰	bora#序9591
棓	bwmk#序9590
椑	bwmu#序9589
莿	cicd#序9588
枱	cimk#序9587
佽	cirq#序9586
䅟	cjhp#序9585
	cjhp#序9584
崒	cvei#序9583
	dadz#序9582
㳠	dadz#序9581
咑	dakd#序9580
跶	dazz#序9579
捯	dcfd#序9578
梼	dcmc#序9577
舠	dcvd#序9576
叇	ddez#序9575
垈	ddtr#序9574
菂	dicd#序9573
杕	dimd#序9572
媂	dinj#序9571
禘	dipj#序9570
墑	ditk#序9569
䃅	diuu#序9568
沊	djdd#序9567
撢	djfu#序9566
啗	djka#序9565
惔	djxh#序9564
憺	djxk#序9563
饤	dkud#序9562
捵	dmfb#序9561
汈	dnda#序9560
弔	dnga#序9559
剟	dody#序9558
杕	domd#序9557
埵	dota#序9556
㙍	doty#序9555
昳	dpon#序9554
丼	dsad#序9553
苳	dscd#序9552
戙	dskg#序9551
姤	dunk#序9550
坉	dytv#序9549
惇	dyxz#序9548
痾	eebk#序9547
崿	eeev#序9546
咹	eekn#序9545
姶	eenk#序9544
堨	eetr#序9543
耏	erap#序9542
棻	ffcm#序9541
坋	fftd#序9540
沨	fgdx#序9539
崶	fgec#序9538
堼	fgtt#序9537
昉	fhof#序9536
倣	fhrw#序9535
氾	fjdv#序9534
墦	fjtt#序9533
茀	fuca#序9532
䓛	fuce#序9531
芣	fucx#序9530
洑	fudq#序9529
㳇	fudx#序9528
㕮	fukx#序9527
榑	fumc#序9526
彿	fupa#序9525
伕	furd#序9524
砆	fuun#序9523
棐	fwam#序9522
剕	fwda#序9521
朏	fwoe#序9520
屝	fwua#序9519
㗎	gakm#序9518
嗰	gekk#序9517
饹	geuk#序9516
冮	ghdg#序9515
㭎	ghmx#序9514
㽏	gjdc#序9513
玕	gjwu#序9512
洸	glde#序9511
啯	gokw#序9510
蒄	grcc#序9509
毌	grvu#序9508
䓛	guce#序9507
蓇	guco#序9506
榖	guuy#序9505
氿	gvdj#序9504
嶲	gveg#序9503
廆	gvgg#序9502
阓	gvmb#序9501
姽	gvnv#序9500
坬	gxtg#序9499
姤	gznk#序9498
耇	gztk#序9497
咍	hdkk#序9496
嗐	hdkk#序9495
嚇	hekv#序9494
盉	hemh#序9493
暍	heov#序9492
垎	hetk#序9491
蔊	hjcu#序9490
浛	hjdk#序9489
嵅	hjeg#序9488
崡	hjek#序9487
扞	hjfu#序9486
虷	hjiu#序9485
㘎	hjkw#序9484
暵	hjod#序9483
㿠	hlbg#序9482
滉	hldg#序9481
锽	hljw#序9480
艎	hlvw#序9479
擭	hofy#序9478
佸	hork#序9477
荁	hrca#序9476
峘	hrea#序9475
镮	hrjy#序9474
鹮	hrns#序9473
葓	hscb#序9472
唝	hskb#序9471
沍	huda#序9470
淴	hudx#序9469
楛	humk#序9468
嫭	hunu#序9467
姱	hunv#序9466
昒	huop#序9465
廆	hvgg#序9464
槥	hvme#序9463
橞	hvmx#序9462
袆	hvpa#序9461
翚	hvyi#序9460
婫	hynv#序9459
梌	iamh#序9458
勦	icvl#序9457
梣	ifmg#序9456
棽	ifmg#序9455
憕	igxa#序9454
奓	iidd#序9453
摛	iifs#序9452
喫	iikd#序9451
胣	iioy#序9450
佁	iirk#序9449
毚	ijdd#序9448
刬	ijdg#序9447
浐	ijdi#序9446
瀍	ijdt#序9445
梴	ijmz#序9444
橦	ilma#序9443
圌	irka#序9442
摏	isfa#序9441
䢺	iuee#序9440
摴	iufv#序9439
斶	iuji#序9438
柷	iume#序9437
俶	iury#序9436
歜	iusq#序9435
䲠	iyyo#序9434
梼	izmc#序9433
椆	izmk#序9432
裯	izpk#序9431
殣	jbdf#序9430
㓤	jidu#序9429
勣	jifl#序9428
耤	jilo#序9427
枅	jimc#序9426
檵	jimv#序9425
姞	jink#序9424
徛	jirk#序9423
伋	jirn#序9422
㚻	jitn#序9421
垍	jito#序9420
堲	jitv#序9419
塈	jitv#序9418
汫	jkda#序9417
䴖	jknf#序9416
倞	jkrx#序9415
璟	jkwx#序9414
彊	jlga#序9413
弶	jlgx#序9412
鞬	jmgz#序9411
暕	jmon#序9410
藠	jncb#序9409
斠	jncu#序9408
峧	jnef#序9407
䴔	jnnw#序9406
筊	jnvx#序9405
恔	jnxf#序9404
蜐	jpil#序9403
耤	jplo#序9402
檞	jpmn#序9401
㛃	jpnf#序9400
劼	jpul#序9399
岊	jpve#序9398
氿	jqdj#序9397
嶲	jreg#序9396
婘	jrnv#序9395
烱	jshk#序9394
囧	jskk#序9393
䐃	jsok#序9392
䢛	jszk#序9391
㵐	jtdq#序9390
傕	jtrf#序9389
玦	jtwn#序9388
叕	jtyy#序9387
蒟	juck#序9386
泃	judk#序9385
岠	juek#序9384
崌	juek#序9383
岨	jueq#序9382
岨	jueq#序9381
䴗	juno#序9380
娵	juny#序9379
腒	juok#序9378
跼	juzk#序9377
泇	jxdk#序9376
㗎	jxkm#序9375
槚	jxmb#序9374
傢	jxrn#序9373
叚	jxvy#序9372
莙	jyck#序9371
葰	jycw#序9370
濬	jydo#序9369
㸆	kcha#序9368
愒	kdxv#序9367
㞹	keek#序9366
匼	kekk#序9365
悈	kexg#序9364
嵁	kjev#序9363
衎	kjrd#序9362
墈	kjtl#序9361
磡	kjul#序9360
劻	klkl#序9359
楛	kumk#序9358
櫆	kvmu#序9357
戣	kvvg#序9356
梱	kymm#序9355
睏	kyok#序9354
蝲	laid#序9353
粦	lbma#序9352
荖	lccp#序9351
嫪	lcnp#序9350
俫	ldrn#序9349
堎	lgtw#序9348
蓢	lhco#序9347
崀	lhen#序9346
唥	lhks#序9345
㮾	lhmd#序9344
桹	lhmn#序9343
塱	lhtd#序9342
犛	lian#序9341
凓	lidm#序9340
峛	lied#序9339
唎	likd#序9338
㰀	limd#序9337
朸	liml#序9336
欐	liml#序9335
貍	lipt#序9334
琍	liwd#序9333
慄	lixm#序9332
叕	liyy#序9331
蔆	lkcw#序9330
崚	lkew#序9329
櫺	lkmk#序9328
鸰	lknr#序9327
〇	lkoo#序9326
舲	lkvs#序9325
○	lkvv#序9324
喨	llkj#序9323
俍	llrn#序9322
俍	llrn#序9321
倞	llrx#序9320
梿	lmmz#序9319
嫽	lnnx#序9318
瞭	lnox#序9317
蓏	locg#序9316
㑩	lord#序9315
砢	louk#序9314
哷	lpkc#序9313
鹠	lqnp#序9312
蹓	lqzt#序9311
哢	lskc#序9310
昽	lsol#序9309
䂮	ltfu#序9308
菉	lucd#序9307
蕗	luck#序9306
硵	luux#序9305
箓	luvd#序9304
琭	luwd#序9303
勠	luyl#序9302
哷	lvkc#序9301
梠	lvmk#序9300
藟	lwct#序9299
礌	lwut#序9298
剅	lzda#序9297
嬤	mand#序9296
嫲	mang#序9295
忞	mbwx#序9294
芼	mccm#序9293
楙	mcmm#序9292
抆	mffw#序9291
惛	mfxo#序9290
擝	mgfm#序9289
幪	mgjn#序9288
曚	mgon#序9287
矇	mgon#序9286
獴	mgqn#序9285
尨	mgud#序9284
懞	mgxx#序9283
厖	mhip#序9282
尨	mhud#序9281
杗	mhwm#序9280
蓂	mkcb#序9279
勔	mmal#序9278
藦	mocu#序9277
沬	mwdn#序9276
郿	mwev#序9275
媄	mwnd#序9274
眛	mwon#序9273
呣	mzkd#序9272
妠	nanr#序9271
臑	ncoa#序9270
峱	ncqe#序9269
耏	ndap#序9268
妳	ninx#序9267
暱	niok#序9266
婻	njnu#序9265
捵	nmfb#序9264
嬝	nnny#序9263
蘗	npcm#序9262
菍	npcx#序9261
嵲	npem#序9260
㶶	nshn#序9259
傉	nurc#序9258
粃	pamp#序9257
舥	pavb#序9256
芃	pgcd#序9255
泙	pgdu#序9254
搒	pgff#序9253
椪	pgma#序9252
徬	phrf#序9251
尨	phud#序9250
苉	pice#序9249
䴙	pinu#序9248
伾	pira#序9247
嚭	piuk#序9246
柈	pjma#序9245
槃	pjmv#序9244
荓	pkcc#序9243
洴	pkdc#序9242
泙	pkdu#序9241
楩	pmmn#序9240
㛹	pmnn#序9239
慓	pnxx#序9238
䥽	pojd#序9237
哱	pokz#序9236
蒱	pucf#序9235
墣	putn#序9234
蜅	puzd#序9233
抔	pzfx#序9232
慬	qbxa#序9231
䓫	qick#序9230
呇	qidk#序9229
棨	qihm#序9228
碁	qiqu#序9227
埼	qitk#序9226
玘	qiwv#序9225
愭	qixo#序9224
恓	qixx#序9223
踦	qizk#序9222
跂	qizy#序9221
庼	qkga#序9220
蔃	qlci#序9219
蒨	qmco#序9218
汧	qmdc#序9217
拑	qmfc#序9216
杄	qmmu#序9215
伣	qmrj#序9214
墘	qmtg#序9213
圲	qmtu#序9212
橾	qnmm#序9211
硚	qnua#序9210
萩	qqch#序9209
梂	qqmd#序9208
毬	qqmd#序9207
棬	qrmv#序9206
惓	qrxv#序9205
䓖	qscl#序9204
棤	qtmo#序9203
䓛	quce#序9202
焌	quhw#序9201
㭕	qums#序9200
胠	quos#序9199
袪	qups#序9198
拤	qxfd#序9197
菍	rfcx#序9196
纴	rfsu#序9195
䎃	rjay#序9194
镕	rsjk#序9193
嘥	sdkr#序9192
㴔	sedx#序9191
凘	sidj#序9190
枱	simk#序9189
楒	simx#序9188
虒	sipj#序9187
俬	sirs#序9186
偲	sirx#序9185
甦	suaa#序9184
窣	subu#序9183
傃	surx#序9182
傃	surx#序9181
蒐	szcs#序9180
祂	tapx#序9179
